"Texture	        theta_r	theta_e	alpha (cm^-1)	n	m	Ks (cm/h)"
"Clay"	                0.1	0.46	1.00E-02	1.25	0.2	0.612
"Clay-loam"	        0.08	0.44	2.00E-02	1.42	0.29	0.3348
"Loam"	                0.06	0.4	1.00E-02	1.47	0.32	0.504
"Loamy-sand"	        0.05	0.39	3.00E-02	1.75	0.43	4.32
"Sand"	                0.05	0.38	4.00E-02	3.18	0.69	26.64
"Sandy-clay"	        0.12	0.39	3.00E-02	1.21	0.17	0.468
"Sandy-clay loam"	0.06	0.38	2.00E-02	1.33	0.25	0.54
"Sandy-loam"	        0.04	0.39	3.00E-02	1.45	0.31	1.584
"Silt"	                0.05	0.49	1.00E-02	1.68	0.4	1.836
"Silty-clay"	        0.11	0.48	2.00E-02	1.32	0.24	0.432
"Silty-clay loam"	0.09	0.48	1.00E-02	1.52	0.34	0.468
"Silt-loam"	        0.07	0.44	1.00E-02	1.66	0.4	0.756
"P-1"                   0.0648	0.4513	0.0031297	1.6858	0.40680982322	0.45
"P-2"    		0.0831 	0.4773 	0.0083272 	1.299 	0.23017705927 	0.07
"P-3" 			0.0668 	0.4617 	0.0037454 	1.6151 	0.38084329143 	0.45
"B-1"                	0.0649	0.4481	0.009567	1.3579	0.263568	0.07
"B-2"    		0.0672 	0.4760 	0.005288 	1.5276 	0.345378 	0.02
"B-3" 			0.0823 	0.4782 	0.004467 	1.4585 	0.314364 	0.20
